229.02,"2,925","2,779","1,303",77,40,288,6,"1,065",146,"1,895"
229.03,"3,942","3,679",1687,116,38,450,16,"1,372",263,"2,345"
230.01,"5,083","4,930",606,"1,209",18,2663,47,387,153,747
230.02,"2,330","2,186",271,"1,112",9,357,1,436,144,641
230.03,"4,028","3,874",429,"1,534",10,1457,62,382,154,655
231.01,"1,231","1,197",166,577,6,292,7,149,34,253
231.02,"3,600","3,460",230,"2,625",7,421,29,148,140,321
231.03,"4,649","4,442",160,"3,425",11,102,619,125,207,271
232,"4,490","4,282",386,"2,617",47,490,61,681,208,"1,011"
233,"2,591","2,492",245,435,15,1517,27,253,99,430
234,"3,492","3,331",331,"1,613",8,492,298,589,161,886
251,"3,249","3,010",1915,231,17,499,4,344,239,737
252,"5,454","5,165",3390,235,34,572,26,908,289,1625
253,"4,615","4,302","2,647",197,31,558,11,858,313,1712
254.01,"3,906","3,623",1796,234,25,609,21,938,283,1686
254.02,"3,241","3,013",1374,251,21,906,26,435,228,996
254.03,"4,487","4,201",1640,580,21,1149,31,780,286,"1,568"
255,"7,518","7,130",2960,106,21,3129,20,894,388,"2,209"
256,"5,705","5,358","1,430",155,20,2939,23,791,347,1518
257,"9,221","8,829","2,198",373,28,4975,57,1198,392,2116
258,"1,871","1,755",378,244,8,915,4,206,116,423
259,"4,278","4,072",1178,543,21,1923,16,391,206,739
260.01,"5,549","5,298","1,843",98,20,2041,37,1259,251,2526
260.02,"3,680","3,503","1,653",172,13,1172,3,490,177,1161
260.03,"4,826","4,549","1,478",137,39,1800,27,1068,277,1914
260.04,"4,010","3,793","1,234",86,16,1636,38,783,217,1493
261,"5,995","5,708","1,436",94,28,3399,9,742,287,1445
262,"6,992","6,654","1,565",188,14,3743,33,1111,338,2082
263.01,"4,410","4,261","1,052",44,32,2576,10,547,149,1150
263.02,"4,355","4,047","1,237",110,8,2101,29,562,308,1067
263.03,"4,529","4,283","1,047",69,7,2448,41,671,246,1230
264.01,"3,733","3,614",405,457,17,2382,55,298,119,549
264.02,"4,109","3,938",747,610,16,2084,42,439,171,812
264.03,"4,112","3,954",509,322,9,2773,39,302,158,523
264.04,"2,287","2,203",213,554,14,902,75,445,84,632
301.01,"4,475","4,304","3,013",121,10,1059,12,89,171,262
301.02,"4,797","4,594","3,296",135,5,1061,7,90,203,258
302.01,"3,980","3,784","2,382",59,13,"1,238",7,85,196,257
302.02,"4,454","4,260","2,746",96,15,1300,7,96,194,304
303.01,5886,5677,3204,93,8,2285,5,82,209,287
303.02,"3,471","3,350","1,726",35,10,1534,9,36,121,127
304,"5,177","4,999","2,933",53,5,"1,931",10,67,178,223
305,"3,374","3,258","1,912",392,13,747,13,181,116,265
306,"2,132","2,065","1,509",19,1,501,4,31,67,143
307,"6,367","6,050","4,042",279,12,1562,13,142,317,479
308,"5,646","5,412",3665,34,14,1590,9,100,234,365
309,"6,771","6,533",4005,322,14,2066,2,124,238,433
310,"3,556","3,404","1,942",199,6,1152,2,103,152,337
311,"6,278","5,951","3,346",221,27,1948,28,381,327,1166
312,"8,487","8,116","1,536",1526,33,4356,40,625,371,1233
313,"8,201","7,903","1,585",2349,26,"3,556",31,356,298,732
314,"6,112","5,809",980,1842,27,2279,37,644,303,1181
326,"8,605","8,325","3,566",98,12,4519,7,123,280,354
327,"6,498","6,247","2,846",69,5,3231,16,80,251,270
328,"8,034","7,780","3,007",94,24,4550,10,95,254,312
329,"8,452","8,209","3,002",53,7,5081,3,63,243,311
330,"7,496","7,240",3581,99,14,3427,12,107,256,408
331,"3,739","3,644","1,966",22,1,"1,612",6,37,95,166
332.01,"3,075","2,855","1,626",202,14,866,13,134,220,345
332.02,"7,258","6,789","3,495",442,16,2622,17,197,469,552
351,"7,756","7,485","3,043",77,5,4253,6,101,271,354
352.01,"5,587","5,391","2,101",135,28,"3,033",13,81,196,305
352.02,"4,436","4,261","2,190",73,14,"1,881",11,92,175,301
353,"7,082","6,872",2600,40,21,4119,9,83,210,363
354,6726,6495,2562,116,16,3684,13,104,231,373
401,"4,348","4,197","2,467",76,11,"1,575",3,65,151,228
402,"5,364","5,178","2,975",59,16,"2,027",5,96,186,233
426,"7,200","6,945","3,948",83,18,"2,789",4,103,255,355
427,"5,513","5,350","2,889",70,13,2286,7,85,163,255
428,"2,451","2,395","1,926",15,3,432,0,19,56,76
451,"5,102","4,915","2,151",123,5,2543,7,86,187,208
452,"6,695","6,445","3,128",94,9,"3,135",2,77,250,287
476,"5,431","5,230","2,366",88,14,"2,690",6,66,201,202
477.01,"4,618","4,455","2,046",55,16,"2,232",3,103,163,258
477.02,"3,946","3,827","1,647",56,11,2044,6,63,119,152
478,"7,787","7,502","3,462",96,12,3785,17,130,285,323
479.01,"6,540","6,247","2,971",190,13,"2,970",5,98,293,267
479.02,"3,539","3,409","1,791",42,9,"1,515",8,44,130,147
601,"2,234","2,099","1,707",103,17,169,35,68,135,211
602,231,222,156,22,3,37,0,4,9,19
603,137,133,107,12,0,7,0,7,4,26
604,"1,518","1,442",897,107,3,394,3,38,76,116
605.01,412,407,77,68,0,222,8,32,5,89
605.02,"3,416","3,225",271,1600,22,626,400,306,191,645
606,530,513,52,316,4,107,9,25,17,67
607,676,643,381,72,8,164,0,18,33,47
609,411,407,199,135,2,26,6,39,4,86
610,"2,400","2,309",378,456,1,1303,23,148,91,309
